顧客名簿,,,,,,
,,,,,,
得意先ｺｰﾄﾞ,得意先名称１,郵便番号,住所１,住所２,住所３,電話番号
826,ジェイ･エス㈱,918-8231,福井県福井市,問屋町1-204,,0776-21-1065
827,栄光㈱,444-0931,愛知県岡崎市,大和町荒田85-1,,0564-31-1111
828,㈲ファミリークリーニング,085-0806,北海道釧路市,武佐1-1-9,,0154-46-4600
829,マーティナイジング 草加店,340-0013,埼玉県草加市,松江853,,048-932-5800
830,㈱ティンチャー,910-0015,福井県福井市,二の宮6-15-24,,0776-28-1371
831,㈱コスモ物流,243-0801,神奈川県厚木市,上依知1300-1,,0462-46-2776
832,京田屋,918-8056,福井県福井市,若杉浜1-501,,0776-35-6343
834,やまもと商店,603-8824,京都府京都市北区,西賀茂南大栗町8-5,,075-491-7768
835,山田修整㈲ 本社工場,940-0205,新潟県長岡市,栄町1-5-10,,0258-52-3154
836,エリートクリーニング㈱,480-1124,愛知県長久手市,戸田谷117,,0561-65-0455
837,プリマリエ高砂殿 衣裳部,453-0015,愛知県名古屋市中村区,椿町1-10,,052-452-2211
839,宗クリーニング,814-0165,福岡県福岡市早良区,次郎丸3-19-18,,092-862-1260
840,㈱アイナックス 南関東支店*禁,213-0011,神奈川県川崎市高津区,久本3-5-7,ﾆｯｾｲ新溝ﾉ口ﾋﾞﾙ,044-814-5600
841,茂木クリーニングﾞ商会,235-0012,神奈川県横浜市磯子区,滝頭2-36-15,,045-751-0764
842,ブライダルギャラリー みやこ,857-0854,長崎県佐世保市,福石町20-15,ﾗｲﾌｽﾃ-ｼﾞ ｱｲﾄﾜ内,0956-33-7710
843,㈲TiTi,151-0051,東京都渋谷区,千駄ヶ谷4-22-2,,03-5786-3563
844,㈱旭工業,463-0070,愛知県名古屋市守山区,新守山3128,,052-795-0390
845,小宮染色工場,124-0025,東京都葛飾区,西新小岩3-7-4,,03-3696-1448
846,㈲林クリーニング商会,166-0001,東京都杉並区,阿佐谷北4-26-6,,03-3337-1892
847,㈱白成舎,969-3123,福島県耶麻郡猪苗代町,城南70,,0242-62-4353
849,クリーニングキッズ 高見ドライ,802-0972,福岡県北九州市小倉南区,守恒5-1-1,,093-963-8923
851,㈱クリーンサービス,899-5652,鹿児島県姶良市,平松2227-3,,0995-65-4622
853,㈱マリアージュ 甲府,400-0032,山梨県甲府市,中央1-12-22,,055-237-5111
854,エリゼ㈱,542-0081,大阪府大阪市中央区,南船場2-9-8,ｼﾏﾉ住友生命ﾋﾞﾙ7F,06-6252-7400
855,シーサイドガーデン･リビアン,979-0146,福島県いわき市,勿来町関田関山105-45,,0246-78-1551
856,㈲ツーエム企画,933-0903,富山県高岡市,熊野町6-8,,0766-21-4935
857,クリーニング㈲ニュースター,162-0802,東京都新宿区,改代町41,,03-3235-3006
858,㈱イワテブライダルセンター,027-0081,岩手県宮古市,新川町3-16,,0193-63-4149
859,ブライダルブティック㈲モア,920-0025,石川県金沢市,駅西本町2-1-44,,076-263-2525
860,竹下製薬㈱ 直江津工業,942-0207,新潟県上越市,頸城区手島239,,025-530-2362
861,㈱キャンバス,389-0515,長野県東御市,常田539-1,,0268-64-8600
862,富山オークスセレモニーセンター,930-0801,富山県富山市,中島4-2-14,,076-432-9854
863,㈲藤仙,988-0271,宮城県気仙沼市,本吉町野々下44-7,,0226-44-2045
864,㈱テン･アンド･テン,150-0022,東京都渋谷区,恵比寿南1-9-4,,03-5720-6661
865,東京シャツ工業㈱,270-2231,千葉県松戸市,稔台7-43-1,,0473-62-4121
866,中日本ジューキ㈱ 福井営業所,918-8231,福井県福井市,問屋町4-112-1,,0776-27-3688
867,中西染物,920-0356,石川県金沢市,専光寺町ﾊ88－3,,076-267-1557
870,谷口クリーニング,649-3502,和歌山県東牟婁郡串本町,潮岬1848-1,,07356-2-3153
871,きもの しみぬき なるみや,210-0804,神奈川県川崎市川崎区,藤崎4-25-5-2,,044-767-8082
872,山崎クリーニング店,914-0141,福井県敦賀市,莇生野45-25-1,,0770-22-2996
873,㈱上田商店,556-0016,大阪府大阪市浪速区,元町2-4-9,,06-6633-4621
875,㈱太良商事,854-0063,長崎県諫早市,貝津町826-1,,0957-25-2520
877,ブライダルファッション 矢澤衣裳,396-0025,長野県伊那市,荒井3495,,0265-72-2675
878,ワタベウエディング㈱,651-0087,兵庫県神戸市中央区,御幸通7-1-15,三官ﾋﾞﾙ南館,078-291-5506
879,㈱丸富 本部･加工センター,334-0003,埼玉県川口市,坂下町2-3-18,,048-281-8651
880,フタバ貸衣裳,361-0072,埼玉県行田市,宮本6-17,,0485-56-3796
882,ブライダルスペース宮ノ森リビアン,064-0953,北海道札幌市中央区,宮の森三条10-3-3,宮ﾉ森ｽﾃｰﾀｽﾋﾞﾙ,011-613-4336
883,西山商店,510-0033,三重県四日市市,川原町30-6,,059-332-2480
884,株式会社札幌ゲンブ,064-0912,北海道札幌市中央区,南12条西23丁目2-1-510,,090-7055-0477
886,近江化工㈱,915-0092,福井県越前市,塚町54-6,,0778-23-5700
887,高橋呉服店,807-0843,福岡県北九州市八幡西区,三ケ森3-10-17,,093-611-1542
888,㈱シラカワ 秩父営業所,368-0022,埼玉県秩父市,中宮地町24-3,,0494-22-2154
889,田中クリーニング,143-0016,東京都大田区,大森北4-15-20,,03-3761-9493
890,アップルブライダルプラザ 奥州店,029-4208,岩手県奥州市,前沢竹沢92,,0197-56-0211
891,㈱小島衣料,455-0806,愛知県名古屋市港区,明正1-342,関山運輸㈱気付 名古屋PDS,052-381-8153
892,ハイドライ木村,700-0056,岡山県岡山市北区,西崎本町14-33,,086-252-1719
893,シフォンクリーニング,271-0044,千葉県松戸市,西馬橋3-2-4,,047-347-3883
894,㈱エヌシーエー,553-0007,大阪府大阪市福島区,大開2-5-11,,06-6462-1291
895,㈲サンケエ,130-0012,東京都墨田区,太平1-1-10,,03-3625-3003
896,㈱エース機械,182-0015,東京都調布市,八雲台1-31-1,,042-482-0081
897,ブライダルハウス ベル,520-3032,滋賀県栗東市,苅原47-1,ﾒｿﾞﾝﾄﾞｹｲｽﾞ1F,0775-53-1408
898,クラウンクリーニングﾞ㈲上村,135-0042,東京都江東区,木場3-14-5,,03-3641-9244
899,㈲ワンダフルクリーニング,344-0021,埼玉県春日部市,大場781-3,,048-736-4590
900,定昌洗衣器材有限公司,,"1,2F-NO.162,SEC.1,JHONG","SING RD.,WUGU TOWNS SHIP,TAIPEI","COUNTRY 248,TAIWAN(R.O.C.)",886-229852373
901,台湾象王洗衣工業有限公司,,台湾省台北県板橋市環河道路14号,,,886-229658333
902,世信交易,,韓国 特別市中区,,,
904,"JINTANA APPAREL CO.,LTD",,74 M00 11 PHUTTA MONTHON5 RD,"RAIKING,SAMPRAN NAKHON PATHOM","73110 BANGKOK10600,THAILAND",
905, K.I KOREA,,韓国 ソウル市松波区松波洞104-4,                      愚岩B/D2層,2F-UAMBD.104-4SONGPA-DONG.SONGPA,822-425-4543
906,"J.PUJOL MAQUINARIA CONF.,SA",,"P.･FABRA Y PUIG,232 08016",BARCELONA SPAIN,,(3)351-1611
907,HUA THAI MANUFACTURING PUBLIC,,"25/17 SOI SAKOLLAND,","CHAENGWATTANA ROAD,PAKKRED",NONTHABURI 11120,662-5730788
908,IE CANDID (S) PTE LTD.,,BLOCK1024 YISHUN INDUSTRIAL PARK,A#02-37 SINGAPORE 2776,,65-7526522
909,WATABE WEDDING  CORPRATION,,"2270 kalakaua Ａre 10th Floor,",       HONOLULU HAWAII   96815,,
910,Modern Machinery  Center,,Al-Azizia st. Al-Azizia Center," Bldg.,POBox11938 Aleppo,Syria",,963-11689133
911,WATABE WEDDING CORP SAISON DES,,2270 KALAKAUA AVENUE＃900," HONOLULU,HAWAII 96815",,808-931-4111
912,"SHIRAKI．DRY CLEANERS,INC",,"P.O.BOX ３４５ CAPT.COOK,HI",           96704   HAWAII,,808-323-2733
913,WATABE WEDDING AUSTRARIA,,CORNER GODDING DRIVE AND,"  BOOWAGGAN ROAD.MERRIMAC,QLD",         4226  AUSTRALIA,617-5569-2811
914,YUEN TAI NAKAJIMA HONG KONG LTD,,"UNIT3904,LEVD39.TOWER2.", METYOPLAZA 223 HING HONG ROAD, KWAI CHUNG.N.THONG KONG,852-24208125
915,WATABE WEDDING LASAVEGAS OFFICE,,3900 PARADISE RD#135,LASVEGAS NEVADA 89109,,702-893-4700
916,ＭＩ－ＹＯＵＮＧ　ＫＩＭ,,"14535 OAK  CLUSTER DRIVE,",CENTREVILLE VIRGINIA 20120 USA,,1-571-2208794
917,"WATABE SAIPAN,INC",,P.O.BOX 7451 SVRB SAIPAN,                    MP96950,,670-235-9332
918,DINATEKS A.S,,ESKILONDRA ASFALTI EMEK,    IS MERKEZI NO:27 KAT:4,  SIRINEVLER-ISTANBUL,282-6744316
919,ESQUEL ENTERPRISES LIMITED,,"12/F,HARBOUR CENTRE,25"," HARBOUR ROAD,WANCHAL HONG KONG",,29606596
920,PAC-FUNG FEATHER CO.LTD,,"UNIT6.9/F.,TOWERB,HOI LUEN IND.","CENTRE,55 HOI YUEN ROAD,","KWUN TONG,KOWLOON,HONG KONG.",852-2389-1391
921,WATABE AUSTRALIA PTY LTD,,"LEVEL19,1 MARKET STREET SYDNEY",              NSW 2000,,61-029648777
922,FEORI MACHINERY,,P.O.BOX1112,HUNTLEY.IL 60142.U.S.A,,1-847-6691933
923,MASCOT ENGINEERING LTD.,,"UNIT 407, 4/F.,CORMELL,50 WING","     TAI ROAD, CHAIWAN,HONG KONG",,852-2897-8256
924,"MINTAY TEKSTIL KONF,SANAYIVE",,,TIC A.S BEYSAN SANAYI SITESI,NO39/1 34840 AVCILAR ISTABUL,90-2124225881
925,"B.G.M　SILK　N　GARMENT　CO.,LTD",,"No6,Dongwu NanRd Wuzhong Qu",SUZHOU CHINA,,0512-65273224
926,"SHINWON FELT IND.CO.,LTD",,571-4 YEONUAM-DONG MAPO-KU SEOUL,                       KOREA,,82-2-333-6623
927,UNICLEN　CORP.,,"1236,Dongyang MajorTower","Officetel,849Janghang-Dong,Ilsan",#NAME?,82-2-805-8083
928,"SHANGHAI SHIMIZU&CO.,LTD.",,"ROOM NO.314 201,TIAN ZHILU,","SHANGHAI,P.R.CHINA",,021-62332739
929,HANSOLL TEXTILE LTD,,"HANSOLL BLDG.,651-3,YEOKSAM-DONG","KANGNAM-GU SEOUL,REPUBLIC OF",KOREA,822-3287-8000
930,小原 株式会社,108-0071,東京都港区,白金台3-19-1,第31興和ﾋﾞﾙ8F,03-5475-2128
931,㈱丸三　KOREA,,"1F102,579-3,ⅠIsan-Dong,","Ⅰｌsanseo-Gu,Goyang-Si,", Gyounggi-Do Korea,031-975-9988
932,OCEAN　WEDDING,96815-36,WAIKIKI BEACH MARRIOTT 2552,"KALAKUA AVENUE,HONOLULU HAWAII",,808-926-2800
933,"MARINE　TIME　CO.,LTD",,"209/216　MOO7,DISTRICT LAKHOK,","SUBDISTRICT MUANG,PRATHUMTHANI",1200 THAILAND,662-997-6713
934,㈱石澤製作所,990-0301,山形県東村山郡山辺町大字山辺2941,,,0236-65-7389
935,"MARUSAN AID CO.,LTD",,726-11　NAEGAK-RI　JINJEOPｰEUP,NAMYANGJU-SI GYEONGGI-DO KOREA,,031-522-2020
936,ＤＡＷＯＮ　CORP,410-837,"923,Dongyang　Major Officetel,","849,Jang-dong,Ilsandong-gu,","Goyang-si,Gyeonggi-do,Korea",31-9136363
937,ＡＲＴ CLEANERS,,1100　JOHNSON FERRY ROAD SUITE90,"MARIETTA GA,30068-2700 U.S.A",,0770-565-3435
938,"CLEAN AID CO.,LTD",,"333-8,Doksan 1-dong,","Geumcheon-gu,Seoul,Korea",,82-10-3202-4748
939,SK　Corporation,,"Nature Hill,730 Umyeon-Dong,","Seocho-Gu,Seoul,Korea",,82-2-572-8083
940,DESEMAC,,6 rue Jean Mermoz,33185 Le Haillan France,,+33(0)557000900
941,Cinevie　LLC,,"2155 Kalakaua Ave,Suite610,",Honolulu HI 96815,Hawaii U.S.A,808-379-0940
950,"B.G.M.SILK　N　GARMENT　CO.,LTD",,"№6,Dongwu NanRD,Wuzhong",       Qu SUZHOU  CHINA,,
951,WATABE WEDDING CORPRATION,,2270 kalakaua Are 9th Floor,　　HONOLULU HAWAII 96815,,
952,"MARINE TIME CO.,LTD　国内",,"209/216　MOO7,DISTRICT LAKHOK,","SUBDISTRICT MUANG, PRATHUMTHANI",1200　THAILAND,662-997-6713
953,UNI CLEAN CORP.国内,,"429,ILSAN VISTA OFFICETEL,102",JUYEOP-DONG ILSANSEO-GU,"GOYANG-SI GYEONGGI,KOREA",82-31913-6363
954,台湾象王洗衣工業㈲,,台湾省台北県板橋市環河道路14号,,,
956,㈱丸三　KOREA　国内,,"1F102,579-3,ⅠIsan-Dong,","Ⅰｌsanseo-Gu,Goyang-Si,", Gyounggi-Do Korea,031-975-9988
957,上海象王洗衣工業㈲,,CHINESE SHANGHAI CHANGNING,No.1228 WEST YAN'AN ROAD,GARLEY BUILDING 7 FLOOR C BLOCK,021-52541166
958,HONEYS GARMENT INDUSTRY,,"Plot№(B-4),MINGALARDON","INDUSTRIAL ANDKHAYEBIN ROAD,","MINGALARDON　TOUNSSHIP,YANGON",95-1-639083
959,"UNI CLEAN CO.,LTD",,"42,SONGSAN-RO, 11SANSEO-GU,","GOYAN-SI GYEONGGI-DO,　KOREA",,031-913-6363
960,WORLD TRADE CORP.,,"103-ho,104-ho,80,Wi city 4-ro,","llsandong-gu,Goyang-si,","Gyeonggi-do,10321,Republic ofKorea",031-8035-6172
961,CLEAN　NARA,7663,"980-12 HWAGOKDONG,GANGEOGU,",SEOUL、KOREA,,010-3202-4748
962,TECPLUS SPARE,3417153,SAIDEH STREET BUILD ZEINOUN,FROOR4 ZALKA BEIRUT LEBANON,,96171504017
963,PT.MATSUOKA　INDUSTRIES,41263,JL.Kali,,,62-0260-7141862
964,SHENGZHOU RONGHUI CLOTHING,312400,"№3　ROAD4, NECKTIE INDUSTRIAL","ZONE,SHENGZHOU,ZHEJIANG,CHINA",PC　312400,156-1883-7383
965,"SPRAYWAYｰTPR CO.,LTD",,"No.5 Le Trung Nghia Street,","Bay Hien Ward,","HCMC,Vietnam",84-28-3811-4000
966,SPRAYWAY SINGAPORE　PTE　LTD,528559,"1　Tampines North Drive 1,#04-12,T-SPACE,",Simgapore,,65-67443075
967,CONG TY TNHH FURUSHIMA VIETNAM,,"136/16 Binh Phuoc B Quarter,Binh Chuan ward,","Thuan An city,Binh Duong",Ho Chi Minh City Vietnam,0947-080-505
968,"SPRAYWAYｰTPR CO.,LTD",,"No.5 Le Trung Nghia St.,Ward12.",Tan Binh District.,"HCMC,Vietnam",
969,本社　海外販売用,,,,,96171504017
970,JUKI SINGAPORE PTE LTD,,60 Macpherson Road #06-09,Siemens Centre Singapore,348615,(65)6553-4388
971,SPRAYWAY SINGAPORE　PTE　LTD,,"1　Tampines North Drive 1,#04-12,T-SPACE,",Simgapore,,
1001,マルコシクリーニング,336-0025,埼玉県さいたま市南区,文蔵3-2-6,,048-861-7796
1002,㈲マルコシ*廃,331-0048,埼玉県さいたま市西区,清河寺864-156,,048-623-2951
1003,㈲白清舎,341-0018,埼玉県三郷市,早稲田2-24-8,,048-958-1134
1004,社会福祉法人 新篠津福祉会,068-1115,北海道石狩郡新篠津村,第45線北14番地,,0126-57-2244
1005,サンライズクリーニング,781-5103,高知県高知市,大津乙2120-5,,088-866-1323
1006,㈱サンヴィセンテ,151-0073,東京都渋谷区,笹塚3-24-5,,03-5333-3040
1007,水野シール印刷㈱,915-0084,福井県越前市,村国2-3-18,,0778-22-2239
1008,しみぬき処いまい 今井勝利,501-0119,岐阜県岐阜市,大菅南5-22,,058-251-1453
1009,岐阜 保,510-0829,三重県四日市市,城西町5-7,,059-354-5716
1010,山口屋,501-6011,岐阜県羽島郡岐南町,八剣北2-11,,058-246-6652
1011,㈱関口商会,386-0012,長野県上田市,中央5-12-9,,0268-22-2982
1012,㈱サフロス,326-0845,栃木県足利市,大前町783-1,,0284-64-8910
1013,㈱ユニコ,103-0023,東京都中央区,日本橋本町4-1-13,ｽﾘｰﾋﾟｰ日本橋ﾋﾞﾙ3F,03-3231-7240
1014,㈱With Wedding,960-8061,福島県福島市,五月町5-10,,024-523-3899
1016,きもの川さき,310-0055,茨城県水戸市,袴塚3-3-49,,029-221-5836
1017,㈲Tｰエルフィン,824-0008,福岡県行橋市,宮市町12-1,,09302-4-3955
1018,ワタベウエディング㈱,615-0046,京都府京都市右京区,西院西溝崎町20,,075-322-4110
1019,共和産業㈱,719-0232,岡山県浅口市,鴨方町本庄398-1,,0865-44-1200
1020,㈱鈴木商会,616-8116,京都府京都市右京区,太秦松本町14,,075-881-1984
1021,ワタベウエディング㈱,615-0046,京都府京都市右京区,西院西溝崎町20,,075-322-4110
1022,㈱ヨシノ工業所,990-0813,山形県山形市,桧町4-6-13,,023-684-1325
1024,クリーンボーイキクタ,960-0112,福島県福島市,南矢野目字高畑20-2,,024-557-2418
1025,㈱レック モアザンユー,651-1131,兵庫県神戸市北区,北五葉6-14-30,,078-594-8011
1026,関ニット,274-0067,千葉県船橋市,大穴南2-25-1,,047-465-0274
1029,㈱ロイヤル,223-0056,神奈川県横浜市港北区,新吉田町806,,045-531-4764
1030,秋田セントポール教会 衣裳部,010-0874,秋田県秋田市,千秋久保田町4-39,,018-884-7700
1032,㈱又四郎商会,918-8104,福井県福井市,板垣1-703,,0776-33-7834
1034,中沢ドライ,621-0856,京都府亀岡市,上矢田町岩田16-35,,0771-23-7680
1035,㈱東京丸栄 熊谷店,360-0033,埼玉県熊谷市,曙町2-22,,048-525-3145
1036,㈲サラガイクリーニング,720-0831,広島県福山市,草戸町2-5-32,,084-922-0740
1037,㈲尾西商事,494-0007,愛知県一宮市,小信中島字西九反42-1,,0586-62-1300
1038,リジェール松山,790-0006,愛媛県松山市,南堀端町2-3,,089-948-5634
1039,㈲いちせい,497-0012,愛知県あま市,七宝町下田字江西33-1,,052-443-5418
1040,㈱太洋舎,232-0064,神奈川県横浜市南区,別所1-2-7,,045-742-0667
1042,㈲辻商事,915-0085,福井県越前市,八幡1-15,,0778-22-6333
1043,タキヒョーテクニー㈱*禁,451-0072,愛知県名古屋市西区,笠取町2-139,,
1044,㈱ダック･アペル,990-0042,山形県山形市,七日町4-15-20,,0236-35-1555
1046,㈲梁川クリーニング,960-0786,福島県伊達市,梁川町南本町63-2,,024-577-3363
1047,㈱白洋舎,761-8031,香川県高松市,郷東町135,,087-881-4399
1049,㈲アオキ商会,034-0001,青森県十和田市,三本木並木西134,,0176-22-3431
1050,㈲安達ドレス,131-0043,東京都墨田区,立花3-26-1,,03-3612-7919
1051,田中美容院,869-0442,熊本県宇土市,城之浦町52,,0964-22-0374
1053,水沼クリ－ニング,321-4321,栃木県真岡市,小林914-6,,0285-82-5237
1054,ビスコンティ㈱,151-0051,東京都渋谷区,千駄ヶ谷1-7-11,B1F,03-3478-0344
1056,㈱石井ドライ,309-1611,茨城県笠間市,笠間1464-7,,0296-72-9830
1058,クリーニング工房木下,395-0801,長野県飯田市,鼎中平1995-15,,0265-22-1839
1059,サンケミカル㈱,101-0025,東京都千代田区,神田佐久間町3-37,由良ﾋﾞﾙ2F,03-3866-0971
1060,奥田化学産業,587-0002,大阪府堺市美原区,黒山790,,0795-52-0622
1062,㈱はりぶん,507-0047,岐阜県多治見市,富士見町2-48,,0572-23-2200
1063,㈱きものセンター 八戸,031-0804,青森県八戸市,青葉1-1-21,やまいちﾋﾞﾙ1F,0178-32-7555
1064,轟産業㈱,918-8003,福井県福井市,毛矢3-2-4,,0776-36-5522
1065,昭和ジューキ㈱ 本社,182-0022,東京都調布市,国領町5-58-1,,042-441-1125
1066,サンライズクリーニング㈲,787-0010,高知県四万十市,古津賀池向1607,,0880-34-5453
1067,㈱きものセンター 五所川原店,037-0063,青森県五所川原市,大町34,,0173-34-8808
1068,クリーンライフ セキグチ,948-0000,新潟県十日町市,宇都宮69-36,,025-757-4855
1069,齋栄織物㈱,960-1406,福島県伊達郡川俣町,鶴沢字馬場6-1,,024-565-2331
1070,㈱奥田,604-8244,京都府京都市中京区,元本能寺町392,,075-221-5127
1071,㈱スタウト,101-0031,東京都千代田区,東神田1-4-12,双和ﾋﾞﾙ3F,03-5821-5635
1072,関根ドライクリーニング,326-0822,栃木県足利市,田中町909-10,,0284-71-2616
1073,クリーニングﾞ 堀,400-0861,山梨県甲府市,城東3-14-14,,055-233-7815
1074,㈲アザミ,326-0843,栃木県足利市,五十部町876,,0284-21-2011
1077,㈲稲村クリーニング,234-0053,神奈川県横浜市港南区,日野中央1-15-14,,045-843-1020
1078,長谷川商店,179-0084,東京都練馬区,氷川台3-8-4,,03-3931-6200
1080,大幸産業㈱,167-0022,東京都杉並区,下井草4-17-3,,03-3395-2811
1081,フォーマリー丸善,414-0026,静岡県伊東市,竹の台5-19,,0557-37-2017
1082,甲信越福山通運㈱ 福井,910-0823,福井県福井市,重立町28-43,,0776-54-8001
1083,㈱トーヨー特機 名古屋,462-0062,愛知県名古屋市北区,新沼町55,,090-7604-3898
1084,㈱ファッションクロスフルシマ,348-0026,埼玉県羽生市,下羽生1073-1,,048-561-4367
1085,龍田刺繍,915-0233,福井県越前市,岩本町15-12,,0778-42-0767
1086,㈱フソー,320-0014,栃木県宇都宮市,大曽2-2-53,,028-622-6658
1087,㈲サンメグ,150-0036,東京都渋谷区,南平台町12-13,秀和第2南平台ﾚｼﾞﾃﾞﾝｽ802,03-3496-5025
1088,㈲中島商会,819-0022,福岡県福岡市西区,福重4-14-12,,092-891-1981
1089,㈲インテリア桜庭,010-1421,秋田県秋田市,仁井田本町2-17-24,,018-839-7227
1090,五洋電機㈱,910-0002,福井県福井市,町屋3-8-12,,0776-26-0134
1091,太陽ランドリー,340-0044,埼玉県草加市,花栗4-25-39,,048-942-1306
1092,㈱旭化工,201-0002,東京都狛江市,東野川1-5-21,,03-3488-2511
1093,㈱イトードレス,340-0014,埼玉県草加市,住吉2-2-4,,048-924-7832
1094,㈱マリーゴールド,861-2107,熊本県熊本市東区,秋津新町1-34,3F,096-331-3336
1095,仙台不入流,981-1234,宮城県名取市,箱塚1-11-32,,022-383-2365
1096,アイナックス稲本㈱ 九州支店,812-0896,福岡県福岡市博多区,東光寺町1-15-34,ｻﾝYﾋﾞﾙ,092-451-0671
1097,小林 重一,948-0041,新潟県十日町市,北新田564-8,,025-757-2457
1098,㈱華裳 ブライダルサロン華裳 本店,381-2221,長野県長野市,川中島町御厨937-1,ﾜｲﾙﾄﾞﾋﾞﾙ 1F,026-286-3993
1099,㈱双葉商会*禁,111-0031,東京都台東区,千束2-25-4,,03-3871-1071
1101,マリアージュ㈲彩華*廃業,885-0026,宮崎県都城市,大王町34-11,,0986-26-3663
1102,川口加茂川屋 熊田,333-0834,埼玉県川口市,安行領根岸2259-24,,048-284-2337
1103,アクロストランスポート㈱ A.R.C,243-0035,神奈川県厚木市,愛甲片町1434,,046-226-9950
1104,㈲前川クリーニング店,080-0846,北海道帯広市,緑ケ丘二条3-6,,0155-24-3928
1105,㈱渡辺貸衣裳,418-0005,静岡県富士宮市,宮原407-7,,0544-24-4498
1107,クリーニングのタケダ 竹田良二,504-0824,岐阜県各務原市,蘇原旭町2-61,,058-383-3732
1108,三晃設備,003-0861,北海道札幌市白石区,川下一条4-2-20,,011-871-8306
1109,㈱品田ミシン商会,940-0016,新潟県長岡市,宝4-3-5,,0258-24-9970
1110,㈱江本染料店 高松営業所,761-0104,香川県高松市,高松町2158-7,,0878-43-1601
1111,クリーニングさわや,542-0082,大阪府大阪市中央区,島之内1-11-2,,06-271-7624
1112,㈱小島衣料,502-0006,岐阜県岐阜市,粟野西5-684,,058-237-3033
1114,金森クリーニング,522-0064,滋賀県彦根市,本町3-2-4,,0749-23-4647
1115,クリーニングショップこんの,960-0778,福島県伊達市,梁川町伝樋5-12,,024-577-1762
1116,㈲クリーン浅野,329-4307,栃木県栃木市,岩舟町静303-9,,0282-55-4894
1118,㈱庄内リネンサプライズ,997-0011,山形県鶴岡市,宝田3-9-47,,0235-22-8068
1119,ことぶき繊維化工㈱,192-0051,東京都八王子市,元本郷町2-1-16,,042-622-2432
1120,鈴木 清弘,494-0005,愛知県一宮市,西五城中川田一,,
1121,㈲ビューティ三愛,983-0852,宮城県仙台市宮城野区,榴岡1-2-45,,022-297-5422
1122,山上縫糸㈱,537-0025,大阪府大阪市東成区,中道4-16-21,,06-6981-4127
1123,ほりぐちドライ,619-0242,京都府相楽郡精華町,菅井北ノ堂51-23,,0774-93-1433
1124,中村屋クリーニング,930-0046,富山県富山市,堤町通り2-6-3,,076-423-0259
1125,㈲テクノサービス,441-0105,愛知県豊川市,伊奈町佐脇原430,,05337-8-3514
1126,㈲田部田ソーイングシステム,326-0052,栃木県足利市,相生町385-34,,0284-41-7539
1128,㈱クリントピア ぴいぷる,603-8223,京都府京都市北区,紫野東藤ノ森町11,,075-441-3628
1129,まきやす衣裳店,442-0047,愛知県豊川市,若宮町48,,0533-86-1200
1130,ワジズ機械㈱,491-0045,愛知県一宮市,音羽3-14-25,,0586-72-1234
1131,白光舎 本店,340-0031,埼玉県草加市,新里町30-12,,048-929-1321
1132,㈱アミナカ,288-0048,千葉県銚子市,双葉町2-6,,0479-25-3854
1134,JUKI販売㈱ 宇都宮支店,321-4351,栃木県真岡市,中634-6,,0285-80-6166
1135,木村クリーニング,340-0834,埼玉県八潮市,大曽根817-5,,048-996-3346
1137,しらふじクリーニング,020-0132,岩手県盛岡市,西青山2-26-18,,019-647-6468
1138,ワールドクリーニング東京,173-0032,東京都板橋区,大谷口上町64-6,,03-3932-1497
1139,ひし菊,722-0017,広島県尾道市,門田町9-39,,0848-23-5783
1142,東和クリーニングﾞ 富沢,641-0025,和歌山県和歌山市,和歌浦中2-8-7,,073-444-6754
1144,スタークリーニング,158-0086,東京都世田谷区,尾山台3-22-6,,03-3701-4401
1145,澤村㈱ 大阪中央支店,541-0046,大阪府大阪市中央区,平野町3-2-13,平野中央ﾋﾞﾙ 第2事業部,06-6201-1333
1146,㈱パルコーポレーション,802-0982,福岡県北九州市小倉南区,山手1-13-1,,093-962-8311
1147,西川㈱ 東日本品質管理室,103-0006,東京都中央区,日本橋富沢町8-8,,03-3664-8161
1148,㈲サンヨー商会 衣裳部,272-0822,千葉県市川市,宮久保3-21-26,,047-372-1011
1149,岡川縫製㈱,502-0827,岐阜県岐阜市,平和通2-29,,058-231-2121
1150,㈱オオムラ,386-0012,長野県上田市,中央2-5-9,,0268-22-5503
1151,中川 総一郎,233-0006,神奈川県横浜市港南区,芹が谷1-35-10,,045-825-4192
1152,㈱平安 ザ･ラシュランコート,399-0037,長野県松本市,村井町西2-7-24,,0263-85-3111
1154,谷口クリーニング店,923-0326,石川県小松市,粟津温泉ｦ25-1,,0761-65-1316
1156,アズマ㈱ 花巻営業所,025-0012,岩手県花巻市,胡四王1-11-9,,0198-31-3050
1157,長坂美容室,028-7305,岩手県八幡平市,松尾28-59-3,,0195-74-2644
1158,共栄ドライ,893-0005,鹿児島県鹿屋市,共栄町9-25,,0994-42-3441
1159,㈱ニッセン 青森支店,030-0957,青森県青森市,蛍沢1丁目27-10,,017-752-1402
1160,徳島シンガー販売㈲,770-0871,徳島県徳島市,金沢2-3-49,,088-664-5447
1161,株式会社スズショー,145-0076,東京都大田区,田園調布南2-11,,03-3750-1155
1162,㈱コマックス,432-8051,静岡県浜松市南区,若林町307-1,,053-447-1123
1164,㈱ﾌﾞﾗｲﾀﾞﾙﾌｧｯｼｮﾝダイワ　　　ｵﾘ,440-0812,愛知県豊橋市,東新町73-23,,0532-55-8111
1165,㈱横田ミシン,762-0038,香川県坂出市,笠指町2-46,坂商正門前,0877-46-4032
